content;question;answer
"Penyerang Timnas Putri Indonesia,Claudia Scheunemann, resmi bergabung dengan klub BelandaFC UtrechtWanita setelah menandatangani kontrak berdurasi hingga 2028 pada Selasa (12/8).
""FC Utrecht telah mengamankan kedatangan Claudia Scheunemann. Penyerang berbakat asal Indonesia ini telah menandatangani kontrak yang akan membuatnya tetap di klub hingga musim panas 2028,"" tulis pihak FC Utrecht melalui situs resmi klub.
Manajer Teknik Sepak Bola Wanita FC Utrecht, Marlou Peeters, mengatakan kehadiran Claudia menjadi tambahan amunisi yang berharga bagi FC Utrecht.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT

""Kami sangat senang dengan kedatangan Claudia. Keahlian teknis dan wawasannya tentang sepak bola menjadikannya aset berharga bagi FC Utrecht.""
""Sebagai playmaker Timnas Indonesia, ia menunjukkan potensinya yang luar biasa selama masa latihan bersama kami. Kami tak sabar melihatnya bersinar dalam balutan seragam merah putih,"" ucap Peeters.
Claudia mengaku senang bisa bergabung dengan FC Utrecht. Penyerang 16 tahun itu siap bersaing untuk menjadi pemain andalan FC Utrecht di Eredivisie Vrouwen, kompetisi kasta tertinggi sepak bola wanita di Belanda.
[Gambas:Instagram]
""Menandatangani kontrak profesional pertama saya dengan FC Utrecht dan menjadi pemain keturunan Indonesia pertama yang menandatangani kontrak di liga top Eropa sangat berarti bagi saya.""
""Saya tak bisa mengungkapkan betapa bahagia dan bersyukurnya saya. Segala kemuliaan bagi Tuhan, keluarga, dan teman-teman saya. Tujuan utama saya adalah bekerja keras dan belajar agar saya bisa mendapatkan tempat reguler di tim utama dan meraih prestasi gemilang bersama FC Utrecht,"" kata Claudia menambahkan.
FC Utrecht Wanita menjadi salah satu tim papan atas di Eredivisie Vrouwen. Musim lalu, FC Utrecht finis posisi empat, di bawah Twente, PSV dan Ajax.
[Gambas:Video CNN]";Kapan Claudia Scheunemann resmi bergabung dengan FC Utrecht Wanita?;Claudia Scheunemann resmi bergabung dengan FC Utrecht Wanita pada Selasa (12/8) setelah menandatangani kontrak hingga 2028.
"Penyerang Timnas Putri Indonesia,Claudia Scheunemann, resmi bergabung dengan klub BelandaFC UtrechtWanita setelah menandatangani kontrak berdurasi hingga 2028 pada Selasa (12/8).
""FC Utrecht telah mengamankan kedatangan Claudia Scheunemann. Penyerang berbakat asal Indonesia ini telah menandatangani kontrak yang akan membuatnya tetap di klub hingga musim panas 2028,"" tulis pihak FC Utrecht melalui situs resmi klub.
Manajer Teknik Sepak Bola Wanita FC Utrecht, Marlou Peeters, mengatakan kehadiran Claudia menjadi tambahan amunisi yang berharga bagi FC Utrecht.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT

""Kami sangat senang dengan kedatangan Claudia. Keahlian teknis dan wawasannya tentang sepak bola menjadikannya aset berharga bagi FC Utrecht.""
""Sebagai playmaker Timnas Indonesia, ia menunjukkan potensinya yang luar biasa selama masa latihan bersama kami. Kami tak sabar melihatnya bersinar dalam balutan seragam merah putih,"" ucap Peeters.
Claudia mengaku senang bisa bergabung dengan FC Utrecht. Penyerang 16 tahun itu siap bersaing untuk menjadi pemain andalan FC Utrecht di Eredivisie Vrouwen, kompetisi kasta tertinggi sepak bola wanita di Belanda.
[Gambas:Instagram]
""Menandatangani kontrak profesional pertama saya dengan FC Utrecht dan menjadi pemain keturunan Indonesia pertama yang menandatangani kontrak di liga top Eropa sangat berarti bagi saya.""
""Saya tak bisa mengungkapkan betapa bahagia dan bersyukurnya saya. Segala kemuliaan bagi Tuhan, keluarga, dan teman-teman saya. Tujuan utama saya adalah bekerja keras dan belajar agar saya bisa mendapatkan tempat reguler di tim utama dan meraih prestasi gemilang bersama FC Utrecht,"" kata Claudia menambahkan.
FC Utrecht Wanita menjadi salah satu tim papan atas di Eredivisie Vrouwen. Musim lalu, FC Utrecht finis posisi empat, di bawah Twente, PSV dan Ajax.
[Gambas:Video CNN]";Apa posisi Claudia Scheunemann di Timnas Putri Indonesia?;Claudia Scheunemann adalah penyerang di Timnas Putri Indonesia.
"MotoGP Austria 2025dapat jadi momen penting bagi pembalap Ducati, Marc Marquez yang bertekad mengakhiri penantian sembilan tahun.
Sejak MotoGP Austria kembali bergulir pada 2016, Marc Marquez sama sekali belum pernah memenangkan seri balap tersebut. Di tengah momentum kebangkitan The Baby Alien, finis terdepan di Sirkuit Red Bull Ring akan jadi pencapaian tersendiri.
""Di tengah perjalanan memburu gelar juara ketujuh di level MotoGP, bergulirnya MotoGP Austria 2025 menimbulkan rintangan yang belum bisa diatasi Marc Marquez sejak MotoGP Austria kembali ke kalender pada 2016,"" tulis situsCrash.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Sirkuit Red Bull Ring adalah satu dari empat Grand Prix yang belum dimenangkan Marquez selama kariernya,"" lanjut laporan Crash.
Pencapaian terbaik rider 32 tahun itu adalah finis di urutan kedua pada 2017, 2018, dan 2019. Ia sempat bertarung sengit menghadapi Andrea Dovizioso dan Jorge Lorenzo namun gagal finis terdepan.
Menurut pandangan pembawa acara siniar Crash MotoGP, Jordan Moreland, saingan terberat Marquez saat ini adalah sesama penggawa Ducati, Pecco Bagnaia. Sebab Pecco sudah memenangkan MotoGP Austria pada tiga edisi terakhir.
""Sirkuit ini sangat berkarakter dan Marc Marquez pasti ingin memenangkannya. Karena jika melihat hasil balapan [MotoGP Austria] sebelumnya, dia belum pernah menang di sana meski sempat nyaris mendapatkannya,"" kata Jordan.

Menurut Jordan, bergabung dengan Ducati adalah pilihan terbaik Marquez untuk menang di MotoGP Austria. Ia percaya hasil baik akan dipetik oleh pemilik enam gelar juara MotoGP itu.
""Sekarang dia mengendarai motor yang berkali-kali mengalahkannya selama bertahun-tahun. Sepertinya akhir pekan ini sudah dia siapkan dengan baik,"" ujarnya.
""Tapi dia akan mendapat tantangan dari Pecco Bagnaia karena bisa saya katakan bahwa Pecco sangat menyukai sirkuit itu dan sudah memenangkan tiga edisi terakhir,"" ia menambahkan.
[Gambas:Video CNN]";Sejak kapan Marc Marquez belum pernah memenangkan MotoGP Austria?;Marc Marquez belum pernah memenangkan MotoGP Austria sejak seri balap tersebut kembali bergulir pada 2016.
"MotoGP Austria 2025dapat jadi momen penting bagi pembalap Ducati, Marc Marquez yang bertekad mengakhiri penantian sembilan tahun.
Sejak MotoGP Austria kembali bergulir pada 2016, Marc Marquez sama sekali belum pernah memenangkan seri balap tersebut. Di tengah momentum kebangkitan The Baby Alien, finis terdepan di Sirkuit Red Bull Ring akan jadi pencapaian tersendiri.
""Di tengah perjalanan memburu gelar juara ketujuh di level MotoGP, bergulirnya MotoGP Austria 2025 menimbulkan rintangan yang belum bisa diatasi Marc Marquez sejak MotoGP Austria kembali ke kalender pada 2016,"" tulis situsCrash.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Sirkuit Red Bull Ring adalah satu dari empat Grand Prix yang belum dimenangkan Marquez selama kariernya,"" lanjut laporan Crash.
Pencapaian terbaik rider 32 tahun itu adalah finis di urutan kedua pada 2017, 2018, dan 2019. Ia sempat bertarung sengit menghadapi Andrea Dovizioso dan Jorge Lorenzo namun gagal finis terdepan.
Menurut pandangan pembawa acara siniar Crash MotoGP, Jordan Moreland, saingan terberat Marquez saat ini adalah sesama penggawa Ducati, Pecco Bagnaia. Sebab Pecco sudah memenangkan MotoGP Austria pada tiga edisi terakhir.
""Sirkuit ini sangat berkarakter dan Marc Marquez pasti ingin memenangkannya. Karena jika melihat hasil balapan [MotoGP Austria] sebelumnya, dia belum pernah menang di sana meski sempat nyaris mendapatkannya,"" kata Jordan.

Menurut Jordan, bergabung dengan Ducati adalah pilihan terbaik Marquez untuk menang di MotoGP Austria. Ia percaya hasil baik akan dipetik oleh pemilik enam gelar juara MotoGP itu.
""Sekarang dia mengendarai motor yang berkali-kali mengalahkannya selama bertahun-tahun. Sepertinya akhir pekan ini sudah dia siapkan dengan baik,"" ujarnya.
""Tapi dia akan mendapat tantangan dari Pecco Bagnaia karena bisa saya katakan bahwa Pecco sangat menyukai sirkuit itu dan sudah memenangkan tiga edisi terakhir,"" ia menambahkan.
[Gambas:Video CNN]";Siapakah pembalap Ducati yang dianggap sebagai saingan terberat Marc Marquez di MotoGP Austria?;Pecco Bagnaia, sesama pembalap Ducati, dianggap sebagai saingan terberat Marquez karena memenangkan tiga edisi terakhir MotoGP Austria.
"Penyerang asal Swedia,Alexander Isakdikabarkan mengancam mogok main jika tak dilepas oleh Newcastle United pada bursa transfer musim panas 2025.
""Alexander Isak akan menolak bermain untuk Newcastle United jika dia tetap berada di St. James Park setelah jendela transfer musim panas ditutup,"" tulis laporan David Ornstein yang dikutipOne Football.
Manajemen Newcastle tak ingin melepas Isak karena The Magpies bakal tampil di Liga Champions 2025/2026. Stok lini depan mereka sedang tipis karena sudah melepas Callum Wilson ke West Ham United.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Praktis posisi penyerang murni Newcastle saat ini tinggal Alexander Isak dan William Osula. Sebelum mendapatkan nama baru, Newcastle condong tak ingin melepas Isak ke tim lain.
Terlebih setelah Benjamin Sesko memilih Manchester United. Situasi ini membuat Newcastle semakin kencang mengikat Isak agar tak pergi kemanapun.
Di saat yang sama, Liverpool sudah memberi tawaran sebesar 110 juta poundsterling atau Rp2,4 triliun demi memboyong pemain 25 tahun itu. Kendati demikian, situasi serba salah memaksa Newcastle menolak proposal The Reds.

""Liverpool memanfaatkan situasi dengan memberi tawaran senilai 110 juta poundsterling, atau 40 juta poundsterling lebih rendah dari yang Newcastle inginkan. Tapi petinggi Newcastle tak mengizinkan Alexander Isak untuk pergi,"" tulisOne Football.
Sikap manajemen klub diklaim membuat Isak berang. Eks bomber Borussia Dortmund itu tak ingin berbalut seragam Hitam Putih lagi.
""Isak menganggap kariernya di St. James Park sudah selesai dan tidak ada keinginan lagi untuk berada di dalam skuad,"" sebut laporan itu.
[Gambas:Video CNN]";Mengapa Alexander Isak dikabarkan mengancam mogok main?;Karena ia ingin dilepas Newcastle United pada bursa transfer musim panas 2025 jika tetap berada di sana.
"Penyerang asal Swedia,Alexander Isakdikabarkan mengancam mogok main jika tak dilepas oleh Newcastle United pada bursa transfer musim panas 2025.
""Alexander Isak akan menolak bermain untuk Newcastle United jika dia tetap berada di St. James Park setelah jendela transfer musim panas ditutup,"" tulis laporan David Ornstein yang dikutipOne Football.
Manajemen Newcastle tak ingin melepas Isak karena The Magpies bakal tampil di Liga Champions 2025/2026. Stok lini depan mereka sedang tipis karena sudah melepas Callum Wilson ke West Ham United.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Praktis posisi penyerang murni Newcastle saat ini tinggal Alexander Isak dan William Osula. Sebelum mendapatkan nama baru, Newcastle condong tak ingin melepas Isak ke tim lain.
Terlebih setelah Benjamin Sesko memilih Manchester United. Situasi ini membuat Newcastle semakin kencang mengikat Isak agar tak pergi kemanapun.
Di saat yang sama, Liverpool sudah memberi tawaran sebesar 110 juta poundsterling atau Rp2,4 triliun demi memboyong pemain 25 tahun itu. Kendati demikian, situasi serba salah memaksa Newcastle menolak proposal The Reds.

""Liverpool memanfaatkan situasi dengan memberi tawaran senilai 110 juta poundsterling, atau 40 juta poundsterling lebih rendah dari yang Newcastle inginkan. Tapi petinggi Newcastle tak mengizinkan Alexander Isak untuk pergi,"" tulisOne Football.
Sikap manajemen klub diklaim membuat Isak berang. Eks bomber Borussia Dortmund itu tak ingin berbalut seragam Hitam Putih lagi.
""Isak menganggap kariernya di St. James Park sudah selesai dan tidak ada keinginan lagi untuk berada di dalam skuad,"" sebut laporan itu.
[Gambas:Video CNN]";Berapa tawaran yang diajukan Liverpool untuk memboyong Alexander Isak?;Liverpool menawarkan 110 juta poundsterling atau Rp2,4 triliun untuk Alexander Isak.
"Federasi Futsal Indonesia (FFI) mengumumkan daftar 17 pemainTimnas Futsal Indonesiajelang tampil dalam dua turnamen internasional.
Timnas Futsal Indonesia akan tampil di CFA Invitational Tournament di China dan 4 Nations World Series 2025 di Jakarta pada September.
Dua turnamen tersebut merupakan persiapan menyambut SEA Games 2025 dan Piala Asia Futsal yang akan berlangsung Januari 2026 di Jakarta.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Pemusatan latihan sudah dimulai pada 11 September diikuti 17 pemain. Nama-nama yang dipanggil tak asing lagi seperti Muhammad Albagir, Rizki Xavier, Rio Pangestu, Ardiansyah Nur, Ardiansyah Runtuboy, Syauqi Saud, Samuel Eko, dan Evan Soumilena.
Pelatih Hector Souto menyatakan dirinya tidak hanya mempersiapkan sebuah sistem untuk menghasilkan kualitas secara berkelanjutan.
""Ketika pemain memahami itu secara utuh, mereka tidak hanya siap untuk SEA Games dan AFC, tetapi juga untuk membawa Indonesia naik ke level berikutnya di Asia dan dunia,"" ujar dia.

Dengan membagi skuad lebih banyak, membuat pemain mendapatkan kesempatan lebih besar tampil di level internasional, sehingga bisa menghadapi gaya bermain dan tekanan yang berbeda-beda, yang berujung pada perkembangan lebih cepat dan menyeluruh.
""Ketika pemain memahami itu secara utuh, mereka tidak hanya siap untuk SEA Games dan AFC, tetapi juga untuk membawa Indonesia naik ke level berikutnya di Asia dan dunia,"" ujar dia.
1.â  â Ahmad Habiebie - Kiper - Bintang Timur Surabaya FC
2.â  â Muhammad Nizar - Kiper - Pangsuma FC
3.â  â Muhammad Albagir - Kiper - Fafage Banua FC
4.â  â Rizki Xavier - Anchor - Bintang Timur Surabaya FC
5.â  â Rio Pangestu - Flank - Anchor - Bintang Timur Surabaya FC
6.â  â Ardiansyah Nur - Flank-Anchor - Black Steel FC
7.â  â Romi Humandri - All Around - Pangsuma FC
8.â  â Bryan Ick Flank - Flank (Kaki Kiri) - Black Steel FC
9.â  â Ardiansyah Runtuboy - Flank (Kaki Kiri) - Bintang Timur Surabaya FC
10.â  â Mochammad Iqbal - Flank (Kaki Kiri) - Bintang Timur Surabaya FC
11.â  â Muhammad Syaifullah - Flank (Kaki Kiri) - Pangsuma FC
12.â  â Firman Ardiansyah Flank - (Kaki Kanan) - Bintang Timur Surabaya FC
13.â  â Yogi Saputra - Flank (Kaki Kanan) - Kuda Laut Nusantara FC
14.â  â Guntur Sulistyo - Flank (Kaki Kanan) - Unggul FC
15.â  â Syaqui Saud - Flank-Pivot - Bintang Timur Surabaya FC
16.â  â Samuel Eko - Flank-Pivot - Bintang Timur Surabaya FC
17.â  â Evan Soumilena - Pivot - Fafage Banua FC
[Gambas:Video CNN]";Turnamen internasional apa saja yang akan diikuti oleh Timnas Futsal Indonesia?;Timnas Futsal Indonesia akan tampil di CFA Invitational Tournament di China dan 4 Nations World Series 2025 di Jakarta.
"Federasi Futsal Indonesia (FFI) mengumumkan daftar 17 pemainTimnas Futsal Indonesiajelang tampil dalam dua turnamen internasional.
Timnas Futsal Indonesia akan tampil di CFA Invitational Tournament di China dan 4 Nations World Series 2025 di Jakarta pada September.
Dua turnamen tersebut merupakan persiapan menyambut SEA Games 2025 dan Piala Asia Futsal yang akan berlangsung Januari 2026 di Jakarta.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Pemusatan latihan sudah dimulai pada 11 September diikuti 17 pemain. Nama-nama yang dipanggil tak asing lagi seperti Muhammad Albagir, Rizki Xavier, Rio Pangestu, Ardiansyah Nur, Ardiansyah Runtuboy, Syauqi Saud, Samuel Eko, dan Evan Soumilena.
Pelatih Hector Souto menyatakan dirinya tidak hanya mempersiapkan sebuah sistem untuk menghasilkan kualitas secara berkelanjutan.
""Ketika pemain memahami itu secara utuh, mereka tidak hanya siap untuk SEA Games dan AFC, tetapi juga untuk membawa Indonesia naik ke level berikutnya di Asia dan dunia,"" ujar dia.

Dengan membagi skuad lebih banyak, membuat pemain mendapatkan kesempatan lebih besar tampil di level internasional, sehingga bisa menghadapi gaya bermain dan tekanan yang berbeda-beda, yang berujung pada perkembangan lebih cepat dan menyeluruh.
""Ketika pemain memahami itu secara utuh, mereka tidak hanya siap untuk SEA Games dan AFC, tetapi juga untuk membawa Indonesia naik ke level berikutnya di Asia dan dunia,"" ujar dia.
1.â  â Ahmad Habiebie - Kiper - Bintang Timur Surabaya FC
2.â  â Muhammad Nizar - Kiper - Pangsuma FC
3.â  â Muhammad Albagir - Kiper - Fafage Banua FC
4.â  â Rizki Xavier - Anchor - Bintang Timur Surabaya FC
5.â  â Rio Pangestu - Flank - Anchor - Bintang Timur Surabaya FC
6.â  â Ardiansyah Nur - Flank-Anchor - Black Steel FC
7.â  â Romi Humandri - All Around - Pangsuma FC
8.â  â Bryan Ick Flank - Flank (Kaki Kiri) - Black Steel FC
9.â  â Ardiansyah Runtuboy - Flank (Kaki Kiri) - Bintang Timur Surabaya FC
10.â  â Mochammad Iqbal - Flank (Kaki Kiri) - Bintang Timur Surabaya FC
11.â  â Muhammad Syaifullah - Flank (Kaki Kiri) - Pangsuma FC
12.â  â Firman Ardiansyah Flank - (Kaki Kanan) - Bintang Timur Surabaya FC
13.â  â Yogi Saputra - Flank (Kaki Kanan) - Kuda Laut Nusantara FC
14.â  â Guntur Sulistyo - Flank (Kaki Kanan) - Unggul FC
15.â  â Syaqui Saud - Flank-Pivot - Bintang Timur Surabaya FC
16.â  â Samuel Eko - Flank-Pivot - Bintang Timur Surabaya FC
17.â  â Evan Soumilena - Pivot - Fafage Banua FC
[Gambas:Video CNN]";Apa tujuan utama pemusatan latihan Timnas Futsal Indonesia yang dipimpin oleh Hector Souto?;Hector Souto ingin mempersiapkan sistem berkelanjutan untuk meningkatkan kualitas pemain dan menaikkan level Indonesia di Asia dan dunia.
"Pemain pendatang baru diPremier LeaguemembuatLiga Inggris2025/2026 akan semakin seru dan sangat dinanti. Berikut lima pemain baru Premier League yang dinanti penampilannya.
Bagi klub-klub besar seperti Liverpool, Arsenal, Manchester City, Chelsea, juga Manchester United, mendatangkan pemain sama artinya memberi beban besar meraih kejayaan.
Imbalannya pun bukan main. Jika mampu menunjukkan kualitas terbaik, sinar pemain baru akan semakin terang. Sebaliknya, kalau biasa-biasa saja atau bahkan melempem, sang pemain bisa dirujak habis-habisan.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Berikut lima pemain pendatang baru yang penampilan dan efek kehadirannya sangat dinantikan masing-masing klub dalam kerasnya persaingan Premier League 2025/2026.
1. Viktor Gyokeres (Arsenal)

Harapan besar ada di pundak Gyokeres. Pemain asal Swedia itu diharapkan bisa menjadi striker tajam yang sudah lama tidak dimiliki sejak era Robin van Persie.
Liga Inggris bukan kompetisi yang baru untuk Gyokeres. Sepanjang 2018 hingga 2021, Gyokeres merupakan pemain Brighton & Hove Albion. Namun, dia tidak pernah merasakan bermain di Premier League.
Gyokeres sempat berkiprah di kasta kedua sepak bola Inggris, Champhionship, bersama Swansea City dan Coventry. Torehan golnya bersama Coventry cukup apik, yakni 40 gol selama dua musim pada 2021/2022 dan 2022/2023. Namun, statistik itu tidak membuat klub-klub Premier League merekrutnya.
Gyokeres baru menjadi perhatian setelah dua musim memperkuat Sporting Lisbon. Penyerang 27 tahun itu mencetak 97 gol dari 102 pertandingan di semua kompetisi.
Hal ini yang membuat pelatih Arsenal Mikel Arteta jatuh hati. Kendati harga kontraknya tinggi, Arsenal rela menebusnya. Karena itu ketajaman Gyokeres pun sangat dinanti suporter The Gunners.
2. Benjamin Sesko (Manchester United)

Musim lalu, bersama RB Leipzig, Sesko membukukan 21 gol dari 45 laga di semua ajang. Bagi pemain 22 tahun, ini catatan istimewa. Karenanya Ruben Amorin membelinya dari Leipzig.
Kehadiran pemain berkebangsaan Slovenia ini diharapkan bertuah. Gaya bermain Sesko yang sederhana dan mematikan, dianggap sangat cocok dengan gaya main Manchester United.
Sebagai pemain jangkung, 195 sentimeter, Sesko tidak lamban. Ia punya kecepatan. Di Liga Inggris pemain cepat sangat dibutuhkan. Permainan itulah yang dinanti-nantikan publik.
3. Florian Wirtz (Liverpool)
Datang dengan status pemain termahal Liverpool musim ini, Wirtz diyakini bisa membuat Liverpool terbang tinggi. Pemain 22 tahun ini dipercaya bisa mencetak banyak gol.
Musim lalu, bersama Bayern Leverkusen, Wirtz mencetak 16 gol dari 45 laga. Jumlah gol yang tidak mencolok, tetapi Wirtz bisa bermain di banyak posisi dengan sama baiknya.
Keandalan di sejumlah posisi ini yang membuat Wirtz selalu bermain dinamis. Pemain setinggi 177 sentimeter itu disebut-sebut punya kemampuan seperti Andres Iniesta dan Xavi Hernandez di lini tengah.
4. Tijjani Reijnders (Manchester City)
Tampil mengesankan bersama AC Milan, Reijnders mendapat tantangan lebih besar dari Manchester City. Talenta dan bakatnya akan diuji dalam kompetisi ganas Liga Inggris.
Performa menjanjikan di Italia sama sekali tak jadi jaminan bakal mentereng di Inggris. Banyak pemain gagal tampil impresif di Inggris setelah bermain mengesankan di Italia.
Namun Reijnders datang dari AC Milan dengan tekad yang kuat. Ia ingin memberi warna baru di lini tengah Man City yang ditinggal Kevin de Bruyne. Karena itu kualitasnya sangat ditunggu.
5. Estevao (Chelsea)
Didatangkan Chelsea dari Palmeiras dengan banderol cukup tinggi, setidaknya jadi tanda kualitas yang dimiliki winger 18 tahun ini. Permainan eksplosif sangat dinantikan.
Musim lalu Estevao melesakkan 12 gol dari 37 pertandingan di semua ajang selama semusim. Ini istimewa sebab, Estevao masih sangat belia. Jam terbangnya melebihi ekspektasi.
Namun, Liga Inggris tak silau dengan pemain muda berbakat. Jika tak bisa menjaga performa tetap di level tertinggi, jangankan bintang muda, pemain besar akan tenggelam di Premier League.
[Gambas:Video CNN]";Apa harapan besar yang ditaruh pada Viktor Gyokeres setelah ia bergabung dengan Arsenal?;Gyokeres diharapkan menjadi striker tajam yang sudah lama tidak dimiliki Arsenal sejak era Robin van Persie.
"Pemain pendatang baru diPremier LeaguemembuatLiga Inggris2025/2026 akan semakin seru dan sangat dinanti. Berikut lima pemain baru Premier League yang dinanti penampilannya.
Bagi klub-klub besar seperti Liverpool, Arsenal, Manchester City, Chelsea, juga Manchester United, mendatangkan pemain sama artinya memberi beban besar meraih kejayaan.
Imbalannya pun bukan main. Jika mampu menunjukkan kualitas terbaik, sinar pemain baru akan semakin terang. Sebaliknya, kalau biasa-biasa saja atau bahkan melempem, sang pemain bisa dirujak habis-habisan.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Berikut lima pemain pendatang baru yang penampilan dan efek kehadirannya sangat dinantikan masing-masing klub dalam kerasnya persaingan Premier League 2025/2026.
1. Viktor Gyokeres (Arsenal)

Harapan besar ada di pundak Gyokeres. Pemain asal Swedia itu diharapkan bisa menjadi striker tajam yang sudah lama tidak dimiliki sejak era Robin van Persie.
Liga Inggris bukan kompetisi yang baru untuk Gyokeres. Sepanjang 2018 hingga 2021, Gyokeres merupakan pemain Brighton & Hove Albion. Namun, dia tidak pernah merasakan bermain di Premier League.
Gyokeres sempat berkiprah di kasta kedua sepak bola Inggris, Champhionship, bersama Swansea City dan Coventry. Torehan golnya bersama Coventry cukup apik, yakni 40 gol selama dua musim pada 2021/2022 dan 2022/2023. Namun, statistik itu tidak membuat klub-klub Premier League merekrutnya.
Gyokeres baru menjadi perhatian setelah dua musim memperkuat Sporting Lisbon. Penyerang 27 tahun itu mencetak 97 gol dari 102 pertandingan di semua kompetisi.
Hal ini yang membuat pelatih Arsenal Mikel Arteta jatuh hati. Kendati harga kontraknya tinggi, Arsenal rela menebusnya. Karena itu ketajaman Gyokeres pun sangat dinanti suporter The Gunners.
2. Benjamin Sesko (Manchester United)

Musim lalu, bersama RB Leipzig, Sesko membukukan 21 gol dari 45 laga di semua ajang. Bagi pemain 22 tahun, ini catatan istimewa. Karenanya Ruben Amorin membelinya dari Leipzig.
Kehadiran pemain berkebangsaan Slovenia ini diharapkan bertuah. Gaya bermain Sesko yang sederhana dan mematikan, dianggap sangat cocok dengan gaya main Manchester United.
Sebagai pemain jangkung, 195 sentimeter, Sesko tidak lamban. Ia punya kecepatan. Di Liga Inggris pemain cepat sangat dibutuhkan. Permainan itulah yang dinanti-nantikan publik.
3. Florian Wirtz (Liverpool)
Datang dengan status pemain termahal Liverpool musim ini, Wirtz diyakini bisa membuat Liverpool terbang tinggi. Pemain 22 tahun ini dipercaya bisa mencetak banyak gol.
Musim lalu, bersama Bayern Leverkusen, Wirtz mencetak 16 gol dari 45 laga. Jumlah gol yang tidak mencolok, tetapi Wirtz bisa bermain di banyak posisi dengan sama baiknya.
Keandalan di sejumlah posisi ini yang membuat Wirtz selalu bermain dinamis. Pemain setinggi 177 sentimeter itu disebut-sebut punya kemampuan seperti Andres Iniesta dan Xavi Hernandez di lini tengah.
4. Tijjani Reijnders (Manchester City)
Tampil mengesankan bersama AC Milan, Reijnders mendapat tantangan lebih besar dari Manchester City. Talenta dan bakatnya akan diuji dalam kompetisi ganas Liga Inggris.
Performa menjanjikan di Italia sama sekali tak jadi jaminan bakal mentereng di Inggris. Banyak pemain gagal tampil impresif di Inggris setelah bermain mengesankan di Italia.
Namun Reijnders datang dari AC Milan dengan tekad yang kuat. Ia ingin memberi warna baru di lini tengah Man City yang ditinggal Kevin de Bruyne. Karena itu kualitasnya sangat ditunggu.
5. Estevao (Chelsea)
Didatangkan Chelsea dari Palmeiras dengan banderol cukup tinggi, setidaknya jadi tanda kualitas yang dimiliki winger 18 tahun ini. Permainan eksplosif sangat dinantikan.
Musim lalu Estevao melesakkan 12 gol dari 37 pertandingan di semua ajang selama semusim. Ini istimewa sebab, Estevao masih sangat belia. Jam terbangnya melebihi ekspektasi.
Namun, Liga Inggris tak silau dengan pemain muda berbakat. Jika tak bisa menjaga performa tetap di level tertinggi, jangankan bintang muda, pemain besar akan tenggelam di Premier League.
[Gambas:Video CNN]";Mengapa kehadiran Benjamin Sesko diharapkan bisa bertuah bagi Manchester United?;Gaya bermain Sesko yang sederhana dan mematikan dianggap sangat cocok dengan gaya main Manchester United.
